Material,SKU,CountryCode,Currency,cif_jan,cif_feb,cif_mar,cif_apr,cif_may,cif_jun,cif_jul,cif_aug,cif_sep,cif_oct,cif_nov,cif_dec,tnd_jan,tnd_feb,tnd_mar,tnd_apr,tnd_may,tnd_jun,tnd_jul,tnd_aug,tnd_sep,tnd_oct,tnd_nov,tnd_dec,Discounts,focs,Total Discounts,month,year,createdDate,ModifiedDate
387693,Concerta 36mg Extended Release Tab.,BH,USD,45.7,45.7,32.69,32.69,45.7,45.7,32.69,32.69,45.7,45.7,32.69,32.69,32.69,32.69,32.69,32.69,32.69,32.69,32.69,32.69,32.69,32.69,32.69,32.69,0.00%,8.25%,8.25%,10,2019,,
32442,Daktacort Cream                 ,BH,USD,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,0.00%,8.25%,8.25%,10,2019,,
88877,Daktarin Cream 2% 30g,BH,USD,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,0.00%,8.25%,8.25%,10,2019,,
32441,Daktarin Oral Gel 2%,BH,USD,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,0.00%,8.25%,8.25%,10,2019,,
377017,Daktarin Powder 2%,BH,USD,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,0.00%,8.25%,8.25%,10,2019,,
387397,Durogesic Transdermal Patches 100 mcg/h,BH,USD,98.73,98.73,98.73,98.73,98.73,98.73,98.73,98.73,98.73,98.73,98.73,98.73,98.73,98.73,98.73,98.73,98.73,98.73,98.73,98.73,98.73,98.73,98.73,98.73,0.00%,8.25%,8.25%,10,2019,,
387398,Durogesic Transdermal Patches 12 mcg/h,BH,USD,17.62,17.62,17.62,17.62,17.62,17.62,17.62,17.62,17.62,17.62,17.62,17.62,17.62,17.62,17.62,17.62,17.62,17.62,17.62,17.62,17.62,17.62,17.62,17.62,0.00%,8.25%,8.25%,10,2019,,
387399,Durogesic Transdermal Patches 25 mcg/h,BH,USD,31.12,31.12,31.12,31.12,31.12,31.12,31.12,31.12,31.12,31.12,31.12,31.12,31.12,31.12,7.11,7.11,31.12,31.12,7.11,7.11,31.12,31.12,7.11,7.11,0.00%,8.25%,8.25%,10,2019,,
387400,Durogesic Transdermal Patches 50 mcg/h,BH,USD,52.29,52.29,52.29,52.29,52.29,52.29,52.29,52.29,52.29,52.29,52.29,52.29,52.29,52.29,13.07,13.07,52.29,52.29,13.07,13.07,52.29,52.29,13.07,13.07,0.00%,8.25%,8.25%,10,2019,,
414064,"Eprex 1,000 U Pre-Filled Syringes ",BH,USD,65.19,65.19,65.19,65.19,65.19,65.19,65.19,65.19,65.19,65.19,65.19,65.19,28.54,28.54,28.54,28.54,28.54,28.54,28.54,28.54,28.54,28.54,28.54,28.54,0.00%,8.25%,8.25%,10,2019,,
414063,"Eprex 10,000 U Pre-Filled Syringes ",BH,USD,651.88,651.88,651.88,651.88,651.88,651.88,651.88,651.88,651.88,651.88,651.88,651.88,205.08,205.08,205.08,205.08,205.08,205.08,205.08,205.08,205.08,205.08,205.08,205.08,0.00%,8.25%,8.25%,10,2019,,
414065,"Eprex 2,000 U Pre-Filled Syringes ",BH,USD,130.38,130.38,130.38,130.38,130.38,130.38,130.38,130.38,130.38,130.38,130.38,130.38,42,42,42,42,42,42,42,42,42,42,42,42,0.00%,8.25%,8.25%,10,2019,,
414066,"Eprex 3,000 U Pre-Filled Syringes ",BH,USD,91.5,91.5,91.5,91.5,91.5,91.5,91.5,91.5,91.5,91.5,91.5,91.5,91.5,91.5,91.5,91.5,91.5,91.5,91.5,91.5,91.5,91.5,91.5,91.5,0.00%,8.25%,8.25%,10,2019,,
No code available,Cilest Tab. 21tab,BH,USD,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,0.00%,8.25%,8.25%,10,2019,,
No code available,Cilest Tab. 36tab,BH,USD,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0.00%,8.25%,8.25%,10,2019,,
377907,Dacogen 5 mg Injection ,BH,USD,"1,382.00","1,382.00","1,382.00","1,382.00","1,382.00","1,382.00","1,382.00","1,382.00","1,382.00","1,382.00","1,382.00","1,382.00","1,382.00","1,382.00","1,382.00","1,382.00","1,382.00","1,382.00","1,382.00","1,382.00","1,382.00","1,382.00","1,382.00","1,382.00",0.00%,8.25%,8.25%,10,2019,,
88836,Daktarin Cream 2% 15g,BH,USD,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,0.00%,8.25%,8.25%,10,2019,,
0,Daktarin Lotion 2% ,BH,USD,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,0.00%,8.25%,8.25%,10,2019,,
415168,Darzalex 100mg,BH,USD,449.75,449.75,449.75,449.75,449.75,449.75,449.75,449.75,449.75,449.75,449.75,449.75,449.75,449.75,449.75,449.75,449.75,449.75,449.75,449.75,449.75,449.75,449.75,449.75,0.00%,8.25%,8.25%,10,2019,,
415169,Darzalex 400mg,BH,USD,"1,799.00","1,799.00","1,799.00","1,799.00","1,799.00","1,799.00","1,799.00","1,799.00","1,799.00","1,799.00","1,799.00","1,799.00","1,799.00","1,799.00","1,799.00","1,799.00","1,799.00","1,799.00","1,799.00","1,799.00","1,799.00","1,799.00","1,799.00","1,799.00",0.00%,8.25%,8.25%,10,2019,,
0,Doribax 500 mg Injection ,BH,USD,179.21,179.21,179.21,179.21,179.21,179.21,179.21,179.21,179.21,179.21,179.21,179.21,179.21,179.21,179.21,179.21,179.21,179.21,179.21,179.21,179.21,179.21,179.21,179.21,0.00%,8.25%,8.25%,10,2019,,
387401,Durogesic Transdermal Patches 75 mcg/h,BH,USD,80.1,80.1,80.1,80.1,80.1,80.1,80.1,80.1,80.1,80.1,80.1,80.1,80.1,80.1,80.1,80.1,80.1,80.1,80.1,80.1,80.1,80.1,80.1,80.1,0.00%,8.25%,8.25%,10,2019,,
414068,"Eprex 4,000 U Pre-Filled Syringes ",BH,USD,260.75,260.75,260.75,260.75,260.75,260.75,260.75,260.75,260.75,260.75,260.75,260.75,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,0.00%,8.25%,8.25%,10,2019,,
414067,"Eprex 40,000 U Pre-Filled Syringe ",BH,USD,326.56,326.56,326.56,326.56,326.56,326.56,326.56,326.56,326.56,326.56,326.56,326.56,183.54,183.54,183.54,183.54,183.54,183.54,183.54,183.54,183.54,183.54,183.54,183.54,0.00%,8.25%,8.25%,10,2019,,
0,"Eprex 5,000 U Pre-Filled Syringes ",BH,USD,325.94,325.94,325.94,325.94,325.94,325.94,325.94,325.94,325.94,325.94,325.94,325.94,78.67,78.67,78.67,78.67,78.67,78.67,78.67,78.67,78.67,78.67,78.67,78.67,0.00%,8.25%,8.25%,10,2019,,
414069,"Eprex 6,000 U Pre-Filled Syringes ",BH,USD,391.12,391.12,391.12,391.12,391.12,391.12,391.12,391.12,391.12,391.12,391.12,391.12,116,116,116,116,116,116,116,116,116,116,116,116,0.00%,8.25%,8.25%,10,2019,,
0,"Eprex 8,000 U Pre-Filled Syringes ",BH,USD,521.5,521.5,521.5,521.5,521.5,521.5,521.5,521.5,521.5,521.5,521.5,521.5,245.71,245.71,245.71,245.71,245.71,245.71,245.71,245.71,245.71,245.71,245.71,245.71,0.00%,8.25%,8.25%,10,2019,,
140788,Evra Transdermal Patches ,BH,USD,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,0.00%,8.25%,8.25%,10,2019,,
377424,Gyno Daktarin 1200 mg V. Capsule,BH,USD,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,0.00%,8.25%,8.25%,10,2019,,
414691,Gyno Daktarin 200 mg V. Capsules,BH,USD,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0.00%,8.25%,8.25%,10,2019,,
414690,Gyno Daktarin 400 mg V. Capsules,BH,USD,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,0.00%,8.25%,8.25%,10,2019,,
418570,Gyno-Daktarin V. Cream ,BH,USD,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,0.00%,8.25%,8.25%,10,2019,,
140311,Gyno-Pevaryl V. Cream ,BH,USD,7.77,7.77,7.77,7.77,7.77,7.77,7.77,7.77,7.77,7.77,7.77,7.77,7.77,7.77,7.77,7.77,7.77,7.77,7.77,7.77,7.77,7.77,7.77,7.77,0.00%,8.25%,8.25%,10,2019,,
414778,Imbruvica 140mg Capsule ,BH,USD,"8,403.48","8,403.48","8,403.48","8,403.48","8,403.48","8,403.48","8,403.48","8,403.48","8,403.48","8,403.48","8,403.48","8,403.48","8,403.48","8,403.48","8,403.48","8,403.48","8,403.48","8,403.48","8,403.48","8,403.48","8,403.48","8,403.48","8,403.48","8,403.48",0.00%,8.25%,8.25%,10,2019,,
378218,Intelence 100 mg Tab. ,BH,USD,508.5,508.5,508.5,508.5,508.5,508.5,508.5,508.5,508.5,508.5,508.5,508.5,508.5,508.5,508.5,508.5,508.5,508.5,508.5,508.5,508.5,508.5,508.5,508.5,0.00%,8.25%,8.25%,10,2019,,
416819,Invega 3 mg Extended Release Tab. ,BH,USD,88.12,88.12,88.12,88.12,88.12,88.12,88.12,88.12,88.12,88.12,88.12,88.12,88.12,88.12,41.39,41.39,88.12,88.12,41.39,41.39,88.12,88.12,41.39,41.39,0.00%,8.25%,8.25%,10,2019,,
416821,Invega 6 mg Extended Release Tab. ,BH,USD,88.12,88.12,88.12,88.12,88.12,88.12,88.12,88.12,88.12,88.12,88.12,88.12,88.12,88.12,48.8,48.8,88.12,88.12,48.8,48.8,88.12,88.12,48.8,48.8,0.00%,8.25%,8.25%,10,2019,,
416823,Invega 9 mg Extended Release Tab. ,BH,USD,95.51,95.51,95.51,95.51,95.51,95.51,95.51,95.51,95.51,95.51,95.51,95.51,95.51,95.51,95.51,95.51,95.51,95.51,95.51,95.51,95.51,95.51,95.51,95.51,0.00%,8.25%,8.25%,10,2019,,
387760,Invega Sustenna 100 mg/ 1 ml ,BH,USD,298.88,298.88,298.88,298.88,298.88,298.88,298.88,298.88,298.88,298.88,298.88,298.88,298.89,298.89,298.89,298.89,298.89,298.89,298.89,298.89,298.89,298.89,298.89,298.89,0.00%,8.25%,8.25%,10,2019,,
387761,Invega Sustenna 150 mg/ 1.5 ml ,BH,USD,347.74,347.74,347.74,347.74,347.74,347.74,347.74,347.74,347.74,347.74,347.74,347.74,347.78,347.78,347.78,347.78,347.78,347.78,347.78,347.78,347.78,347.78,347.78,347.78,0.00%,8.25%,8.25%,10,2019,,
387758,Invega Sustenna 50 mg/ 0.5 ml ,BH,USD,186.86,186.86,186.86,186.86,186.86,186.86,186.86,186.86,186.86,186.86,186.86,186.86,186.86,186.86,186.86,186.86,186.86,186.86,186.86,186.86,186.86,186.86,186.86,186.86,0.00%,8.25%,8.25%,10,2019,,
387759,Invega Sustenna 75 mg/ 0.75 ml ,BH,USD,243.86,243.86,243.86,243.86,243.86,243.86,243.86,243.86,243.86,243.86,243.86,243.86,243.86,243.86,243.86,243.86,243.86,243.86,243.86,243.86,243.86,243.86,243.86,243.86,0.00%,8.25%,8.25%,10,2019,,
414907,Invokana 100mg ,BH,USD,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,0.00%,8.25%,8.25%,10,2019,,
414908,Invokana 300mg,BH,USD,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,0.00%,8.25%,8.25%,10,2019,,
414089,EPREX PROTECS 30000U 1X0.75ML,BH,USD,103.86,103.86,103.86,103.86,103.86,103.86,103.86,103.86,103.86,103.86,103.86,103.86,103.86,103.86,103.86,103.86,103.86,103.86,103.86,103.86,103.86,103.86,103.86,103.86,0.00%,8.25%,8.25%,10,2019,,
32444,Fentanyl 0.05 mg/ml Inj. 10ml x 50 amps,BH,USD,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,0.00%,8.25%,8.25%,10,2019,,
412117,Fentanyl 0.05 mg/ml Inj. 2ml x 50 amps,BH,USD,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,0.00%,8.25%,8.25%,10,2019,,
,Guselkumab,BH,USD,"2,268.90","2,268.90","2,268.90","2,268.90","2,268.90","2,268.90","2,268.90","2,268.90","2,268.90","2,268.90","2,268.90","2,268.90","2,268.90","2,268.90","2,268.90","2,268.90","2,268.90","2,268.90","2,268.90","2,268.90","2,268.90","2,268.90","2,268.90","2,268.90",0.00%,8.25%,8.25%,10,2019,,
387445,Gyno Pevaryl 150 mg V. Suppositories,BH,USD,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,0.00%,8.25%,8.25%,10,2019,,
387447,Gyno-Pevaryl Depot 150 mg V. Ovules,BH,USD,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,0.00%,8.25%,8.25%,10,2019,,
96041,Haldol 10mg 20 Tab,BH,USD,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,0.00%,8.25%,8.25%,10,2019,,
,HALDOL 5MG 1000 TABL. QUELUZ ST.EXP.,BH,USD,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,0.00%,8.25%,8.25%,10,2019,,
96874,Haldol 5mg tab,BH,USD,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,0.00%,8.25%,8.25%,10,2019,,
412129,Haldol Amp. 5mg/ml,BH,USD,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,0.00%,8.25%,8.25%,10,2019,,
,HALDOL DEC 50MG/ML 5X1ML AMP. GSK-ST.EXP,BH,USD,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,0.00%,8.25%,8.25%,10,2019,,
,Imbruvica Tab 140mg,BH,USD,"1,835.98","1,835.98","1,835.98","1,835.98","1,835.98","1,835.98","1,835.98","1,835.98","1,835.98","1,835.98","1,835.98","1,835.98","1,835.98","1,835.98","1,835.98","1,835.98","1,835.98","1,835.98","1,835.98","1,835.98","1,835.98","1,835.98","1,835.98","1,835.98",0.00%,8.25%,8.25%,10,2019,,
